"Time","__name__","activity_factor","activity_factor_realized","agent_id","base_balance","base_collateral","base_loan","exported_netuid","hotkey","id","instance","inventory_value","inventory_value_change","job","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","quote_balance","quote_collateral","quote_loan","score","sharpe","sharpe_penalty","sharpe_realized","sharpe_realized_penalty","sharpe_realized_score","sharpe_score","sharpe_unrealized_score","task","timestamp","timestamp_str","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2025-12-17 13:03:51.000,miners,0,0,23,5504,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,22362,6.77,bittensor,0,0,miners,366,80,-31247,6.77,2348739,0,0,0,0.00735,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,24,5223,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,19252,8.16,bittensor,0,0,miners,366,81,-35423,8.16,2432954,0,0,0,0.00925,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,25,5265,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,19483,6.08,bittensor,0,0,miners,366,82,-37365,6.08,2420555,0,0,0,0.00829,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,26,5268,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,18983,17.8,bittensor,0,0,miners,366,83,-46759,17.8,2419559,0,0,0,0.0113,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,27,5363,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,21907,12.9,bittensor,0,0,miners,366,84,-36898,12.9,2391201,0,0,0,0.0106,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,28,5043,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,17962,4.16,bittensor,0,0,miners,366,85,-36796,4.16,2486975,0,0,0,0.0114,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,29,4931,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,17462,1.40,bittensor,0,0,miners,366,86,-34167,1.40,2520681,0,0,0,0.00896,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,3,5312,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,18949,8.60,bittensor,0,0,miners,366,100,-39323,8.60,2406257,0,0,0,0.0115,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,30,5220,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,22363,9.06,bittensor,0,0,miners,366,87,-30406,9.06,2433915,0,0,0,0.00977,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,31,5334,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,20076,9.12,bittensor,0,0,miners,366,78,-41147,9.12,2399794,0,0,0,0.0112,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,32,4830,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,19962,4.99,bittensor,0,0,miners,366,89,-36635,4.99,2551026,0,0,0,0.0109,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,33,5322,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,13757,-0.0585,bittensor,0,0,miners,366,90,-40798,-0.0585,2403493,0,0,0,0.00924,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
